Subject,Trial,Category,Image,Valence,Arousal,IMidx
8,11,2,flower008.png,9,2,51
8,12,3,snake009.png,1,4,72
8,15,3,snake016.png,4,8,79
8,16,3,snake004.png,5,5,67
8,19,2,flower015.png,9,5,58
8,20,3,snake012.png,5,8,75
8,21,2,flower003.png,2,8,46
8,22,3,snake018.png,2,9,81
8,24,2,flower013.png,1,2,56
8,25,2,flower014.png,5,6,57
8,26,3,snake007.png,2,4,70
8,27,1,face008.png,4,8,17
8,28,1,face018.png,7,9,41
8,29,3,snake017.png,6,7,80
8,31,1,face017.png,1,9,40
8,33,1,face014.png,5,9,37
8,34,2,flower016.png,7,3,59
8,35,3,snake015.png,1,9,78
8,37,1,face001.png,3,8,3
8,38,1,face013.png,4,9,33
8,39,1,face015.png,5,8,38
8,40,1,face019.png,5,9,42
8,41,3,snake008.png,1,6,71
8,43,2,flower007.png,7,8,50
8,44,2,flower005.png,9,3,48
8,45,3,snake006.png,2,3,69
8,46,1,face011.png,3,8,29
8,48,2,flower001.png,7,2,44
8,49,1,face007.png,4,6,14
8,50,3,snake019.png,2,9,82
8,53,2,flower020.png,7,5,63
8,54,1,face016.png,2,9,39
8,55,2,flower010.png,8,2,53
8,57,3,snake013.png,5,4,76
8,58,1,face003.png,1,9,9
8,59,2,flower006.png,8,8,49
8,61,1,face002.png,2,5,5
8,62,2,flower004.png,9,6,47
8,65,3,snake014.png,1,4,77
8,68,3,snake002.png,6,5,65
8,70,1,face020.png,2,8,43
8,71,1,face005.png,2,6,11
8,72,2,flower019.png,2,3,62
8,73,3,snake003.png,1,8,66
8,74,1,face009.png,3,7,18
8,76,2,flower017.png,6,5,60
8,77,3,snake011.png,4,5,74
8,78,2,flower011.png,8,7,54
8,79,3,snake020.png,2,8,83
8,80,3,snake010.png,1,4,73
8,81,3,snake005.png,1,2,68
8,83,1,face004.png,5,9,10
9,2,3,snake012.png,2,6,75
9,5,2,flower017.png,8,8,60
9,7,1,face006.png,1,8,12
9,9,1,face019.png,2,7,42
9,10,1,face011.png,2,7,29
9,12,3,snake019.png,2,5,82
9,13,3,snake016.png,2,5,79
9,14,1,face015.png,1,7,38
9,15,3,snake008.png,2,7,71
9,16,3,snake002.png,4,5,65
9,17,3,snake020.png,3,6,83
9,18,1,face016.png,1,1,39
9,21,1,face008.png,2,7,17
9,22,3,snake013.png,5,5,76
9,23,2,flower011.png,8,7,54
9,24,3,snake009.png,3,6,72
9,25,1,face004.png,2,7,10
9,26,1,face002.png,3,5,5
9,27,3,snake014.png,3,5,77
9,28,2,flower001.png,7,6,44
9,30,2,flower006.png,7,6,49
9,31,1,face001.png,2,7,3
9,32,1,face005.png,1,7,11
9,33,2,flower018.png,7,6,61
9,34,2,flower016.png,7,6,59
9,35,2,flower009.png,7,7,52
9,36,2,flower005.png,7,7,48
9,37,2,flower012.png,7,7,55
9,38,3,snake004.png,3,6,67
9,39,2,flower004.png,7,7,47
9,40,2,flower013.png,6,6,56
9,43,2,flower002.png,6,5,45
9,44,2,flower003.png,6,5,46
9,45,3,snake005.png,2,6,68
9,46,1,face017.png,1,6,40
9,47,1,face010.png,3,6,27
9,48,3,snake011.png,4,5,74
9,49,2,flower019.png,7,6,62
9,50,3,snake007.png,3,4,70
9,51,3,snake010.png,2,7,73
9,52,2,flower015.png,6,7,58
9,56,2,flower020.png,7,6,63
9,57,1,face014.png,1,7,37
9,58,3,snake018.png,2,7,81
9,59,2,flower014.png,7,6,57
9,61,3,snake006.png,2,7,69
9,64,1,face007.png,2,7,14
9,68,2,flower008.png,7,7,51
9,69,2,flower007.png,7,7,50
9,70,3,snake015.png,2,6,78
9,71,1,face020.png,1,7,43
9,72,3,snake017.png,2,6,80
9,73,1,face009.png,1,7,18
9,74,3,snake001.png,3,4,64
9,76,3,snake003.png,3,6,66
9,77,2,flower010.png,6,6,53
9,78,1,face003.png,1,7,9
9,80,1,face012.png,2,7,32
9,81,1,face013.png,2,7,33
9,82,1,face018.png,2,7,41
10,1,1,face005.png,4,7,11
10,5,3,snake012.png,2,7,75
10,6,2,flower008.png,5,5,51
10,7,3,snake019.png,2,7,82
10,8,1,face004.png,2,7,10
10,9,2,flower011.png,5,5,54
10,10,1,face016.png,2,6,39
10,12,1,face008.png,4,7,17
10,13,1,face018.png,3,7,41
10,15,2,flower012.png,5,5,55
10,16,1,face006.png,3,6,12
10,18,2,flower018.png,5,5,61
10,19,2,flower016.png,5,5,59
10,20,3,snake018.png,2,8,81
10,23,1,face011.png,3,6,29
10,24,3,snake020.png,2,8,83
10,27,2,flower002.png,5,5,45
10,29,1,face015.png,3,7,38
10,30,1,face001.png,3,8,3
10,32,3,snake017.png,3,7,80
10,33,1,face020.png,2,8,43
10,34,3,snake005.png,3,7,68
10,35,3,snake008.png,2,7,71
10,36,2,flower007.png,6,5,50
10,37,2,flower013.png,6,5,56
10,38,1,face019.png,4,7,42
10,39,1,face012.png,4,7,32
10,40,2,flower019.png,6,5,62
10,42,1,face002.png,3,6,5
10,43,2,flower004.png,5,5,47
10,44,3,snake007.png,2,8,70
10,45,1,face014.png,2,7,37
10,46,2,flower015.png,6,5,58
10,47,2,flower009.png,6,5,52
10,48,1,face013.png,3,7,33
10,49,2,flower010.png,6,5,53
10,51,2,flower020.png,5,5,63
10,52,3,snake011.png,2,8,74
10,53,3,snake003.png,1,8,66
10,54,3,snake015.png,1,9,78
10,55,3,snake004.png,1,9,67
10,57,2,flower006.png,5,5,49
10,58,3,snake013.png,1,8,76
10,61,3,snake009.png,1,9,72
10,62,2,flower014.png,6,5,57
10,63,3,snake002.png,1,9,65
10,64,1,face003.png,3,8,9
10,65,1,face009.png,2,8,18
10,67,3,snake014.png,1,9,77
10,68,3,snake001.png,1,9,64
10,69,3,snake010.png,1,9,73
10,70,1,face007.png,3,7,14
10,72,2,flower005.png,6,5,48
10,73,2,flower017.png,6,5,60
10,74,2,flower001.png,6,5,44
10,75,3,snake016.png,2,8,79
10,78,3,snake006.png,2,8,69
10,79,1,face017.png,3,7,40
10,80,2,flower003.png,5,5,46
10,82,1,face010.png,3,7,27
11,1,1,face015.png,2,4,38
11,2,1,face002.png,2,3,5
11,3,2,flower017.png,5,3,60
11,4,3,snake009.png,5,6,72
11,6,2,flower013.png,5,3,56
11,7,2,flower012.png,6,6,55
11,8,3,snake016.png,4,5,79
11,9,1,face019.png,2,5,42
11,10,2,flower011.png,5,3,54
11,13,3,snake017.png,6,6,80
11,14,3,snake006.png,3,6,69
11,16,1,face016.png,1,7,39
11,17,1,face008.png,2,4,17
11,18,3,snake011.png,5,4,74
11,19,3,snake015.png,3,6,78
11,20,2,flower007.png,6,3,50
11,21,1,face005.png,2,4,11
11,22,1,face001.png,2,4,3
11,23,3,snake019.png,3,6,82
11,24,2,flower015.png,5,1,58
11,25,3,snake014.png,2,6,77
11,26,3,snake004.png,2,6,67
11,27,2,flower009.png,6,1,52
11,28,2,flower003.png,5,2,46
11,29,3,snake002.png,2,6,65
11,30,1,face011.png,3,3,29
11,32,2,flower019.png,5,2,62
11,33,1,face013.png,2,4,33
11,34,2,flower016.png,5,5,59
11,37,1,face009.png,2,5,18
11,38,2,flower002.png,5,1,45
11,40,3,snake013.png,4,5,76
11,41,3,snake012.png,3,6,75
11,43,3,snake018.png,2,6,81
11,44,2,flower018.png,6,5,61
11,48,1,face018.png,2,6,41
11,50,1,face007.png,3,5,14
11,51,3,snake003.png,2,6,66
11,52,3,snake020.png,1,6,83
11,53,1,face004.png,2,6,10
11,54,2,flower006.png,5,2,49
11,57,2,flower020.png,6,4,63
11,58,3,snake008.png,2,6,71
11,59,2,flower001.png,6,5,44
11,61,1,face014.png,2,6,37
11,64,1,face012.png,1,5,32
11,65,1,face006.png,1,5,12
11,67,1,face003.png,1,7,9
11,69,3,snake010.png,1,7,73
11,70,1,face017.png,2,6,40
11,71,2,flower010.png,5,2,53
11,72,2,flower008.png,7,5,51
11,74,2,flower005.png,6,3,48
11,75,3,snake007.png,2,7,70
11,77,3,snake005.png,3,4,68
11,78,3,snake001.png,2,7,64
11,79,2,flower004.png,5,2,47
11,80,1,face020.png,2,6,43
11,81,2,flower014.png,7,3,57
11,82,1,face010.png,2,4,27
12,1,3,snake001.png,1,9,64
12,2,1,face015.png,5,5,38
12,3,1,face007.png,3,6,14
12,4,2,flower005.png,7,5,48
12,5,3,snake003.png,1,9,66
12,6,1,face005.png,4,5,11
12,8,1,face017.png,2,6,40
12,9,3,snake017.png,1,6,80
12,14,3,snake004.png,1,7,67
12,18,3,snake006.png,1,6,69
12,19,1,face019.png,3,5,42
12,20,3,snake019.png,1,7,82
12,21,2,flower001.png,8,7,44
12,22,1,face013.png,3,5,33
12,23,1,face010.png,4,6,27
12,25,3,snake015.png,2,5,78
12,26,3,snake014.png,1,7,77
12,28,2,flower017.png,7,8,60
12,29,2,flower002.png,8,5,45
12,30,3,snake011.png,1,6,74
12,31,3,snake005.png,2,7,68
12,32,3,snake010.png,1,6,73
