Subject,Trial,Category,Image,Valence,Arousal,IMidx
1,49,3,snake017.png,1,9,57
1,6,3,snake018.png,1,9,58
1,18,3,snake019.png,2,7,59
1,23,3,snake020.png,3,5,60
2,40,1,face001.png,3,7,1
2,11,1,face002.png,2,5,2
2,44,1,face003.png,2,6,3
2,17,1,face004.png,2,8,4
2,12,1,face005.png,3,7,5
2,32,1,face006.png,1,8,6
2,28,1,face007.png,2,7,7
2,19,1,face008.png,2,8,8
2,46,1,face009.png,1,8,9
2,24,1,face010.png,3,6,10
2,52,1,face011.png,2,8,11
2,37,1,face012.png,2,7,12
2,23,1,face013.png,2,8,13
2,2,1,face014.png,2,6,14
2,8,1,face015.png,2,7,15
2,10,1,face016.png,2,7,16
2,21,1,face017.png,1,9,17
2,26,1,face018.png,2,8,18
2,31,1,face019.png,2,7,19
2,15,1,face020.png,3,6,20
2,39,2,flower001.png,5,5,21
2,53,2,flower002.png,5,5,22
2,38,2,flower003.png,5,5,23
2,6,2,flower004.png,5,5,24
2,20,2,flower005.png,5,5,25
2,7,2,flower006.png,6,5,26
2,50,2,flower007.png,5,5,27
2,5,2,flower008.png,5,5,28
2,3,2,flower009.png,5,5,29
2,59,2,flower010.png,6,5,30
2,56,2,flower011.png,6,5,31
2,58,2,flower012.png,5,5,32
2,49,2,flower013.png,5,5,33
2,9,2,flower014.png,5,5,34
2,27,2,flower015.png,5,5,35
2,45,2,flower016.png,5,5,36
2,43,2,flower017.png,5,5,37
2,60,2,flower018.png,5,5,38
2,34,2,flower019.png,6,5,39
2,47,2,flower020.png,5,5,40
2,18,3,snake001.png,4,5,41
2,4,3,snake002.png,3,4,42
2,48,3,snake003.png,4,5,43
2,16,3,snake004.png,4,7,44
2,35,3,snake005.png,5,5,45
2,55,3,snake006.png,4,5,46
2,51,3,snake007.png,4,5,47
2,1,3,snake008.png,3,7,48
2,30,3,snake009.png,4,6,49
2,57,3,snake010.png,4,5,50
2,25,3,snake011.png,4,4,51
2,42,3,snake012.png,4,6,52
2,14,3,snake013.png,2,6,53
2,33,3,snake014.png,5,6,54
2,36,3,snake015.png,5,5,55
2,41,3,snake016.png,5,5,56
